Date Time,Delta Waves,Theta Waves,Low Alpha Waves,High Alpha Waves,Low Beta Waves,High Beta Waves,Low Gamma Waves,High Gamma Waves,Attention,Meditation,Theta_Beta_Ratio,Alpha_Beta_Ratio,Delta_AB_Ratio,Total_Power,Session_Date,Label
2026-02-11 14:15:40.084,36.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,53.0,13.0,3000000.0,3000000.0,3.5999996400000365,50.0,2026-02-11,1
2026-02-11 14:15:41.097,16.0,56.0,52.0,37.0,5.0,2.0,1.0,0.0,47.0,17.0,7.99999885714302,12.714283897959444,0.1666666649305555,169.0,2026-02-11,1
2026-02-11 14:15:42.111,1.0,6.0,26.0,24.0,3.0,1.0,0.0,0.0,38.0,34.0,1.4999996250000938,12.49999687500078,0.0185185181755829,61.0,2026-02-11,0
2026-02-11 14:15:43.135,1.0,6.0,26.0,24.0,3.0,1.0,0.0,0.0,38.0,34.0,1.4999996250000938,12.49999687500078,0.0185185181755829,61.0,2026-02-11,0
2026-02-11 14:15:44.145,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,53.0,35.0,2000000.0,3000000.0,0.599999880000024,10.0,2026-02-11,0
2026-02-11 14:15:45.159,1.0,24.0,10.0,4.0,1.0,2.0,1.0,1.0,51.0,24.0,7.999997333334222,4.666665111111629,0.0588235259515572,44.0,2026-02-11,1
2026-02-11 14:15:46.175,8.0,6.0,61.0,31.0,3.0,0.0,1.0,0.0,41.0,34.0,1.9999993333335555,30.66665644444785,0.0842105254293628,110.0,2026-02-11,1
2026-02-11 14:15:47.185,0.0,7.0,59.0,6.0,2.0,2.0,0.0,0.0,44.0,40.0,1.7499995625001092,16.249995937501016,0.0,76.0,2026-02-11,0
2026-02-11 14:15:48.197,2.0,29.0,7.0,2.0,3.0,0.0,0.0,0.0,24.0,26.0,9.666663444445518,2.9999990000003334,0.1666666527777789,43.0,2026-02-11,1
2026-02-11 14:15:49.198,1.0,6.0,4.0,10.0,0.0,2.0,1.0,4.0,35.0,38.0,2.99999850000075,6.99999650000175,0.0624999960937502,28.0,2026-02-11,1
2026-02-11 14:15:50.280,2.0,3.0,3.0,7.0,0.0,0.0,0.0,0.0,41.0,29.0,3000000.0,3000000.0,0.199999980000002,15.0,2026-02-11,1
2026-02-11 14:15:51.287,1.0,11.0,46.0,15.0,0.0,1.0,0.0,0.0,38.0,30.0,10.999989000011,60.999939000061005,0.0161290319979188,74.0,2026-02-11,1
2026-02-11 14:15:52.306,1.0,10.0,39.0,10.0,3.0,2.0,1.0,0.0,51.0,53.0,1.99999960000008,9.799998040000393,0.0185185181755829,66.0,2026-02-11,0
2026-02-11 14:15:53.308,2.0,5.0,30.0,3.0,1.0,0.0,1.0,0.0,40.0,61.0,4.999995000005001,32.999967000033,0.0588235276816609,42.0,2026-02-11,1
2026-02-11 14:15:54.323,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,1000000.0,1000000.0,3.999996000004,6.0,2026-02-11,1
